,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
111,Sao Filipe,CV,74.76,14.9,-24.5,89,56,10.67
113,Glinka,RU,10.41,54.64,32.87,85,56,8.66
114,Sena Madureira,BR,85.97,-9.07,-68.66,71,36,2.95
115,Gorontalo,ID,73.91,0.54,123.06,95,64,2.17
116,Yulara,AU,66.2,-25.24,130.99,77,40,6.93
118,Timbuktu,ML,62.93,16.77,-3.01,27,0,10.33
119,Batemans Bay,AU,65.99,-35.71,150.18,100,92,4.07
121,Bluff,AU,72.92,-23.58,149.07,87,92,12.01
123,Sandwick,GB,33.8,54.57,-2.89,74,88,18.34
124,Sal Rei,CV,71.6,16.18,-22.92,73,75,14.99
125,Vila,IT,31.93,45.18,8.4,100,90,6.93
126,Saskylakh,RU,-31.17,71.97,114.09,52,44,5.08
127,Hualmay,PE,78.41,-11.1,-77.61,70,8,4.41
128,Avarua,CK,82.4,-21.21,-159.78,83,40,19.46
130,Hilo,US,73.94,19.71,-155.08,55,75,16.11
131,Verkhnevilyuysk,RU,-21.63,63.45,120.31,62,48,2.51
132,Riyadh,SA,69.8,24.63,46.72,45,8,11.41
133,Souillac,FR,41.79,45.6,-0.6,75,0,6.93
134,Belmonte,PT,36.56,40.36,-7.35,78,0,5.64
136,Carnarvon,ZA,70.58,-30.97,22.13,20,0,14.47
138,Porto Novo,BR,80.6,-23.68,-45.44,65,40,4.7
140,Rock Sound,BS,78.68,24.9,-76.2,95,88,21.18
141,Khani,GE,46.4,41.96,42.96,93,75,3.36
142,Ca Mau,VN,75.3,9.18,105.15,90,0,9.22
143,Bambous Virieux,MU,78.8,-20.34,57.76,88,75,3.36
144,Hasaki,JP,26.6,35.73,140.83,86,75,2.95
145,Broken Hill,AU,64.4,-31.97,141.45,72,92,6.93
146,Chokurdakh,RU,-35.45,70.62,147.9,67,68,2.95
147,Esperance,TT,82.4,10.24,-61.45,61,20,12.75
148,Yakeshi,CN,0.42,49.28,120.73,68,12,9.22
150,Rio Tuba,PH,79.08,8.51,117.43,94,56,20.74
151,Neuquen,AR,96.8,-38.95,-68.06,18,0,3.36
153,Seoul,KR,35.28,37.57,126.98,64,75,6.93
154,Iqaluit,CA,6.8,63.75,-68.52,71,90,3.29
155,Terrace,CA,39.2,54.52,-128.61,80,90,19.46
156,Geraldton,CA,-25.61,49.72,-86.95,49,40,3.36
158,Mayo,CA,-11.21,63.59,-135.9,76,75,3.18
159,La Spezia,IT,51.8,44.11,9.83,81,40,18.34
160,Tynda,RU,-20.42,55.15,124.74,55,0,3.06
161,Codrington,AU,75.85,-28.95,153.24,83,24,5.82
162,College,US,11.3,64.86,-147.8,87,20,9.66
163,Mandalgovi,MN,2.76,45.76,106.27,73,0,11.9
164,Tiznit,MA,56.76,29.7,-9.73,99,12,2.62
165,Davidson,US,49.33,35.5,-80.85,32,1,4.63
167,Saurimo,AO,66.21,-9.66,20.4,95,68,2.39
168,Karratha,AU,78.41,-20.74,116.85,83,92,10.56
169,Kanniyakumari,IN,79.94,8.08,77.57,100,12,8.43
171,Adrar,DZ,57.2,27.87,-0.29,33,0,4.7
172,Ponta do Sol,BR,75.08,-20.63,-46,76,48,5.64
173,Shalakusha,RU,14.69,62.23,40.26,82,80,7.54
174,Shenjiamen,CN,48.03,29.96,122.3,90,0,8.55
175,Nabire,ID,69.81,-3.36,135.5,88,64,1.72
176,Tamandare,BR,85.29,-8.28,-70.75,75,44,4.41
177,Vardo,US,42.87,39.62,-77.74,46,75,11.41
178,Ewa Beach,US,73.38,21.32,-158.01,46,20,8.05
179,Vila Velha,BR,82.4,-3.71,-38.6,78,40,9.17
180,Saint George,GR,38.35,39.45,22.34,93,0,2.73
181,Georgetown,GY,79.2,6.8,-58.16,94,75,9.17
182,Batken,KG,16.53,40.06,70.82,65,0,2.95
183,Marawi,PH,63.11,8,124.29,100,36,2.95
185,Kyzyl-Suu,KG,12.62,42.34,78,100,0,6.98
186,Kasba,IN,57.75,25.86,87.54,85,0,9.1
187,Ayagoz,KZ,-11.37,47.96,80.43,70,8,12.35
188,Poum,MK,16.26,41.28,20.71,77,0,1.72
189,Tasiilaq,GL,23,65.61,-37.64,85,88,26.4
190,Barrancas,AR,95,-33.1,-68.71,47,40,11.41
191,Surt,LY,52.04,31.21,16.59,100,0,3.4
192,San Patricio,PY,88.04,-26.98,-56.83,71,68,1.39
193,Chingola,ZM,64.95,-12.55,27.86,95,12,4.85
194,Cherskiy,RU,-24.96,68.75,161.3,75,68,6.53
195,Loiza,PR,80.17,18.43,-65.88,64,20,18.34
196,Mahebourg,MU,78.8,-20.41,57.7,88,75,3.36
198,Marzuq,YE,44.12,14.4,46.47,90,0,2.51
199,Morong,PH,73.4,14.52,121.24,78,75,5.82
200,Jasper,US,55.15,33.83,-87.28,51,12,3.51
201,Mount Gambier,AU,55.4,-37.83,140.78,93,0,6.93
202,Lagoa,PT,53.6,37.14,-8.45,62,0,9.17
203,Kenai,US,29.46,60.55,-151.26,88,90,5.82
204,Severnoye,RU,8.7,54.09,52.54,79,48,14.47
205,Richards Bay,ZA,68.96,-28.77,32.06,86,92,5.53
206,Pouebo,NC,79.53,-20.4,164.57,74,0,8.1
207,Rawson,AR,83.72,-43.3,-65.11,38,0,10.78
208,Shache,CN,8.84,38.42,77.24,63,0,4.74
209,Talara,PE,62.6,-4.58,-81.27,290,0,10.29
210,Strezhevoy,RU,-18.41,60.73,77.6,75,75,6.71
211,Airai,TL,70.22,-8.93,125.41,95,92,1.83
212,Klaksvik,FO,30.2,62.23,-6.59,100,88,11.41
213,Saldanha,PT,37.86,41.42,-6.55,83,12,8.43
215,Shelton,US,42.01,47.22,-123.1,100,90,2.73
216,Rio Gallegos,AR,66.2,-51.62,-69.22,17,75,19.46
217,Thompson,CA,-9.41,55.74,-97.86,69,90,4.7
218,Burns Lake,CA,31.74,54.23,-125.76,47,20,3.74
219,Cabangan,PH,68.88,15.16,120.06,83,20,2.24
220,Praia,BR,84.69,-20.25,-43.81,40,40,11.41
221,Keuruu,FI,-17.56,62.26,24.71,75,0,2.24
222,Victoria,BN,75.99,5.28,115.24,88,75,6.64
223,Boguchany,RU,2.81,58.38,97.46,55,44,9.89
224,Tadine,NC,79.08,-21.55,167.88,92,80,17.72
225,Bucerias,MX,78.8,20.76,-105.33,44,5,9.17
226,Svetlogorsk,RU,-14.81,53.14,59.15,75,40,3.4
227,San Quintin,PH,58.97,17.54,120.52,85,0,3.62
229,Lorengau,PG,83.09,-2.02,147.27,100,48,11.45
230,Dikson,RU,-8.67,73.51,80.55,99,24,20.07
231,Alamogordo,US,53.69,32.9,-105.96,20,1,3.36
232,Northam,GB,39.2,51.04,-4.21,81,20,5.82
233,Dalvik,SE,28.4,57.79,14.13,100,90,8.05
234,Nanortalik,GL,26.39,60.14,-45.24,100,76,37.51
235,Turriff,GB,36.23,57.54,-2.46,100,40,17.22
236,Darab,IR,36.02,28.75,54.55,81,20,0.38
237,Brandfort,ZA,68,-28.7,26.46,56,0,8.05
238,Jumla,NP,17.43,29.28,82.18,95,80,1.16
239,Provideniya,RU,23,64.42,-173.23,79,40,15.66
240,Severodvinsk,RU,10.4,64.56,39.82,85,90,8.95
241,Nikolskoye,RU,3.2,59.7,30.79,84,75,2.73
242,Itoman,JP,52.56,26.12,127.67,62,0,3.36
243,Poya,NC,77.06,-21.35,165.16,100,0,11.45
244,El Penon,MX,68,20.26,-97.43,82,75,9.17
245,Nizhniy Baskunchak,RU,31.07,48.22,46.83,95,88,12.68
246,Oranjemund,ZA,61.8,-28.55,16.43,91,76,2.73
247,Miami Beach,US,2.03,45.45,-84.56,65,90,9.17
248,Qaqortoq,GL,15.8,60.72,-46.03,61,68,12.75
249,Narsaq,GL,15.8,60.91,-46.05,61,32,12.75
250,Kurumkan,RU,-7.37,54.33,110.32,79,68,2.06
251,Deputatskiy,RU,-53.49,69.3,139.9,0,0,1.83
252,Kodiak,US,31.3,39.95,-94.76,54,1,11.41
253,Clifton,AU,73.4,-27.93,151.91,73,0,10.29
254,Hofn,IS,25.76,64.25,-15.21,100,64,2.62
255,San Jeronimo,PE,57.71,-13.65,-73.37,65,36,2.39
256,Madang,PG,73.95,-5.21,145.81,100,92,2.95
257,Coroata,BR,73.01,-6.39,-44.31,94,56,6.76
258,Tres Arroyos,AR,88.49,-38.38,-60.28,56,0,10.67
259,Nhulunbuy,AU,80.6,-12.18,136.78,88,0,5.82
260,Liuhe,CN,15.09,42.28,125.73,36,56,7.65
261,Mount Isa,AU,84.2,-20.73,139.49,51,32,10.29
262,Blumberg,DE,37.4,47.84,8.53,86,75,13.87
263,Bestobe,KZ,-9.17,52.5,73.1,69,36,5.64
264,Mersing,MY,78,2.43,103.84,92,92,14.03
265,Plattling,DE,34.8,48.78,12.88,94,92,6.53
266,Tommot,RU,-9.66,58.97,126.27,64,20,2.84
267,Kruisfontein,ZA,68.28,-34,24.73,85,0,15.7
268,Borovoy,RU,0.24,63.23,52.89,74,44,13.8
269,Oyama,JP,26.6,36.31,139.8,68,75,1.12
270,Teixoso,PT,36.56,40.31,-7.46,78,0,5.64
271,Hohhot,CN,3.2,40.81,111.65,38,0,4.47
272,Longyearbyen,NO,23,78.22,15.63,62,20,16.11
273,Kununurra,AU,75.2,-15.77,128.74,94,40,5.82
274,Hokitika,NZ,64.64,-42.72,170.96,95,92,10
275,Fortuna,ES,58.1,38.18,-1.13,30,0,11.41
276,Zhigansk,RU,-32.61,66.77,123.37,57,44,5.64
277,Omboue,GA,82.37,-1.57,9.26,100,24,4.85
278,Solnechnyy,RU,-9.35,50.72,136.64,67,68,2.95
279,Fevik,NO,24.8,58.38,8.68,85,75,18.34
280,Gijon,ES,48.2,43.54,-5.66,76,40,13.87
281,Brandon,US,11.28,43.59,-96.57,79,90,17.22
282,Sinnamary,GF,78.45,5.38,-52.96,99,92,10
284,Gummidipundi,IN,78.8,13.42,80.13,78,40,5.82
285,Lamar,US,51.98,38.09,-102.62,39,1,8.05
286,Port Elizabeth,US,46.72,39.31,-74.98,38,1,6.93
287,Mundo Nuevo,CL,68.94,-32.72,-71.41,72,0,12.75
288,Sechura,PE,81.06,-5.56,-80.82,63,0,12.68
289,Beruwala,LK,80.88,6.48,79.98,96,20,6.42
290,Labuhan,ID,74.94,-2.54,115.51,96,88,0.94
291,Egvekinot,RU,-3.72,66.32,-179.17,85,56,2.17
292,Monterey,US,69.1,36.6,-121.89,45,1,10.29
293,Okhotsk,RU,-15.6,59.36,143.24,100,0,6.64
294,Altay,CN,1.59,47.83,88.13,80,76,2.51
295,Caravelas,BR,80.84,-17.73,-39.27,100,64,11.79
296,Jasidih,IN,56.36,24.51,86.65,92,0,7.54
297,Luganville,VU,78.59,-15.51,167.18,100,92,11.79
298,Killybegs,IE,42.77,54.63,-8.45,96,92,10.67
299,Mantua,IT,34.97,45.16,10.79,100,90,4.7
300,Rosetta,EG,51,31.4,30.42,100,56,10.78
301,Kathmandu,NP,42.8,27.71,85.32,93,40,2.24
302,Zeya,RU,-13.13,53.74,127.27,57,32,2.17
303,Bama,CN,55.28,24.14,107.25,85,12,4.97
304,Camacha,PT,60.8,33.08,-16.33,67,75,6.93
305,Dunedin,NZ,66.84,-45.87,170.5,92,56,4.41
306,Okha,RU,-8.58,53.59,142.95,81,0,11.01
307,Baryshivka,UA,15.8,50.36,31.33,92,90,6.71
308,Ustyuzhna,RU,7.04,58.84,36.43,77,48,6.08
309,Agadez,NE,62.16,16.97,7.99,26,0,12.8
310,Springdale,US,53.29,36.19,-94.13,34,5,10.29
312,Progreso,UY,83.32,-34.68,-56.22,78,75,5.82
313,Invermere,CA,31.38,50.51,-116.03,48,76,3.18
314,Inongo,CD,79.31,-1.93,18.29,79,36,3.85
315,Seredka,RU,18.24,58.06,38.14,89,88,6.87
316,Omsukchan,RU,-31.08,62.53,155.8,48,48,3.18
318,Ponta Delgada,PT,57.2,37.73,-25.67,87,75,9.17
319,Svarstad,NO,23,59.4,9.97,85,75,14.99
320,Itai,BR,81.69,-23.42,-49.09,59,68,7.76
321,Ban Tak,TH,59.73,17.04,99.08,87,0,0.72
322,Kristinehamn,SE,23.95,59.31,14.11,92,88,13.87
323,Voznesenye,RU,3.03,61.02,35.48,75,24,9.1
324,Saint Anthony,US,29.68,43.97,-111.68,77,90,9.44
325,Presidente Franco,PY,83.64,-25.57,-54.62,78,75,8.05
326,Cortez,US,42.98,37.35,-108.58,41,1,13.87
327,Emerald,AU,78.8,-23.53,148.16,74,75,13.87
328,Carutapera,BR,81.24,-1.2,-46.02,82,88,7.43
329,Praxedis Guerrero,MX,57.27,31.37,-106.02,16,1,10.29
330,Mathbaria,BD,68.24,22.29,89.96,76,24,7.65
331,Okahandja,NA,77,-21.98,16.91,23,20,5.41
332,Waingapu,ID,74.27,-9.65,120.26,94,8,8.1
334,Buala,SB,78.68,-8.15,159.59,100,36,4.63
335,Nouadhibou,MR,68,20.93,-17.03,68,32,13.87
336,Becerril,CO,90.78,9.7,-73.28,36,8,0.72
337,Ust-Maya,RU,-34.77,60.42,134.54,63,48,2.62
338,Kushima,JP,32,31.5,131.29,100,75,4.7
339,Grafton,AU,73.4,-29.69,152.93,78,40,2.24
340,Meulaboh,ID,74.49,4.14,96.13,100,92,2.95
341,Hargeysa,SO,52.44,9.56,44.06,97,68,6.2
342,Port Keats,AU,80.21,-14.25,129.55,94,92,16.26
343,Alofi,NU,82.4,-19.06,-169.92,65,20,11.41
344,Santa Vitoria,BR,88.44,-7.82,-67.03,70,36,6.76
345,Goderich,CA,9.56,43.74,-81.71,88,44,18.05
346,Constitucion,MX,59,23.99,-104.67,13,5,3.36
347,Longonjo,AO,60.9,-12.91,15.25,98,68,1.72
349,Bolnisi,GE,46.4,41.45,44.54,65,0,18.34
350,Namatanai,PG,83.4,-3.66,152.44,100,64,9.78
351,Yzeure,FR,37.4,46.57,3.36,86,90,11.41
353,San Policarpo,PH,75.26,12.18,125.51,99,88,17.05
354,La Colorada,VE,87.8,7.55,-72.32,55,40,11.41
355,Beaverlodge,CA,30.2,55.21,-119.43,68,75,8.05
356,Monopoli,IT,43.66,40.95,17.3,75,0,6.93
357,Itarema,BR,80.12,-2.92,-39.92,84,76,10.78
358,Paso de los Toros,UY,89.6,-32.81,-56.52,79,75,5.82
359,Bethel,US,36,60.79,-161.76,81,90,29.97
360,Camargo,MX,60.18,27.69,-105.17,12,0,4.52
361,Palauig,PH,68.87,15.44,119.9,100,36,8.43
362,Tarko-Sale,RU,-6.83,64.92,77.78,76,44,12.12
363,Sol-Iletsk,RU,5.91,51.16,55,74,8,16.6
364,Sorland,NO,24.8,67.67,12.69,100,90,9.17
365,Red Bluff,US,67.1,40.18,-122.24,33,1,8.05
368,Bahia Blanca,AR,83.31,-38.72,-62.27,75,36,6.98
369,Marsa Matruh,EG,45.38,31.35,27.25,87,0,8.88
370,New Glasgow,CA,34.89,45.59,-62.65,67,48,7.43
371,Bilma,NE,50.51,18.69,12.92,26,0,8.99
372,Pundaguitan,PH,77.1,6.37,126.17,100,64,16.6
374,Cabedelo,BR,80.6,-6.97,-34.84,74,20,9.17
375,Usinsk,RU,-13.08,66,57.56,62,44,7.87
376,Gisborne,NZ,77.06,-38.66,178.02,55,0,5.08
378,San Carlos de Bariloche,AR,69.8,-41.13,-71.31,18,20,25.28
379,Sarangani,PH,80.25,5.4,125.46,100,76,13.69
380,Birao,CF,78.81,10.3,22.78,35,8,7.31
381,Mildura,AU,62.6,-34.18,142.16,63,8,5.82
382,Mikuni,JP,39.2,36.22,136.15,64,75,12.75
384,Samoylovka,RU,24.77,51.19,43.71,92,92,13.69
385,Tuni,BO,57.2,-16.67,-68.14,50,75,11.41
386,Luwuk,ID,79.76,-0.95,122.79,96,80,3.96
387,Elizabeth City,US,47.97,36.3,-76.22,52,1,8.43
388,Pasighat,IN,55.91,28.06,95.33,57,68,1.5
389,Puerto Leguizamo,CO,84.62,-0.19,-74.78,70,8,3.29
390,Kloulklubed,PW,77,7.04,134.26,94,75,4.7
391,Vanino,RU,20.27,53.93,40.55,90,92,12.46
393,Isangel,VU,79.89,-19.55,169.27,100,92,18.72
394,Dickinson,US,35.06,46.88,-102.79,88,90,26.4
395,Nome,US,64.38,30.04,-94.42,41,40,3.36
396,Vilhena,BR,77.46,-12.74,-60.15,92,36,2.62
397,Buzmeyin,TM,48.2,38.05,58.21,57,0,4.7
399,Coffs Harbour,AU,75.69,-30.3,153.13,65,68,5.82
400,Sitka,US,58.88,37.17,-99.65,39,0,12.8
401,Benguela,AO,77.78,-12.58,13.4,100,32,7.87
402,Pisco,PE,71.6,-13.71,-76.2,30,75,18.34
404,Kautokeino,NO,-11.78,69.01,23.04,72,44,3.18
405,Kavieng,PG,82.37,-2.57,150.8,100,88,8.99
406,Kulebaki,RU,18.51,55.41,42.53,79,92,8.43
407,Carndonagh,IE,39.2,55.25,-7.27,69,75,5.82
408,Olinda,EC,82.4,-2.03,-79.75,78,75,9.17
409,Erenhot,CN,-7.37,43.65,111.97,55,0,4.74
410,Ust-Karsk,RU,-13.58,52.71,118.82,58,0,2.39
411,Komsomolskiy,RU,-16.5,67.55,63.78,73,48,7.31
412,Port Blair,IN,82.64,11.67,92.75,98,12,11.23
413,Soni,TZ,68.55,-4.85,38.37,86,20,2.28
414,Gladstone,AU,77,-23.84,151.26,78,75,6.93
416,Vanersborg,SE,28.4,58.38,12.32,92,92,14.99
417,Lyuban,BY,5.96,52.8,28,97,44,6.98
418,Tateyama,JP,37.4,36.66,137.31,51,75,14.99
419,Harlingen,US,68.32,26.19,-97.7,46,90,3.36
420,Lavrentiya,RU,32.01,65.58,-170.99,97,92,15.59
421,Muddebihal,IN,65.27,16.33,76.13,82,36,7.99
423,Karaton,ID,77,-6.34,106.1,94,40,5.82
424,Flinders,AU,71.6,-34.58,150.85,88,90,8.05
425,North Platte,US,60.08,41.12,-100.77,29,1,17.22
426,Bathsheba,BB,78.8,13.22,-59.52,78,75,16.11
427,Necochea,AR,83.99,-38.55,-58.74,75,8,9.78
428,Torbay,CA,24.8,47.66,-52.73,79,20,4.7
429,Rockport,US,67.15,28.02,-97.05,78,1,8.05
430,Fort Nelson,CA,28.4,58.81,-122.69,86,75,4.7
432,Lompoc,US,71.19,34.64,-120.46,31,1,9.17
433,Paracuru,BR,82.4,-3.41,-39.03,78,40,9.17
434,Boa Vista,BR,95,2.82,-60.67,34,40,8.05
435,Rabat,MA,55.4,34.02,-6.83,76,75,2.24
436,Punta Gorda,US,56.01,26.93,-82.05,93,90,12.75
437,Yamada,JP,38.46,36.58,137.08,51,75,14.99
438,Pala,IN,75.2,9.71,76.68,88,40,2.17
439,Mandera,ET,77.01,3.94,41.86,40,0,8.21
441,Tilichiki,RU,-14.57,60.47,166.1,65,68,3.85
442,Marrakesh,MA,53.6,31.63,-7.99,76,75,1.12
443,Portland,US,39.97,45.52,-122.67,88,90,3.18
444,Bucak,TR,40.3,37.46,30.59,93,40,4.7
445,Butembo,CD,61.35,0.12,29.29,87,0,1.39
446,Mitsamiouli,KM,77,-11.38,43.28,88,75,2.24
447,Jaguarari,BR,86.69,-10.26,-40.2,32,0,11.9
449,Monrovia,LR,78.8,6.33,-10.8,94,0,8.99
450,Kabelvag,NO,21.92,68.21,14.48,85,90,10.29
451,Kollam,IN,82.4,8.88,76.6,78,20,5.82
452,Kahului,US,72.39,20.89,-156.47,53,40,20.8
453,Lumeje,AO,67.43,-11.56,20.78,94,64,4.97
455,Palmer,AU,62.6,-34.85,139.16,72,40,4.7
456,Pacific Grove,US,69.04,36.62,-121.92,31,1,5.82
457,Zhicheng,CN,28.73,35.04,112.59,85,92,2.39
458,Ketchikan,US,39.02,55.34,-131.65,88,20,12.75
459,Ginda,IN,21.66,30.69,78.49,76,0,2.06
460,Katsuura,JP,33.8,33.93,134.5,74,75,10.29
461,Apatou,SR,79.89,5.16,-54.34,76,76,3.74
462,Teguise,ES,64.4,29.06,-13.56,72,20,10.29
463,Dingle,PH,73.19,11,122.67,75,20,16.15
464,Luderitz,NA,60.54,-26.65,15.16,97,56,5.64
465,Sorong,ID,80.16,-0.86,131.25,100,76,5.41
466,Hamilton,BM,66.2,32.3,-64.78,93,90,13.87
467,Nicoya,CR,89.6,10.15,-85.45,52,20,13.87
468,Cabo San Lucas,MX,82.02,22.89,-109.91,38,40,13.87
469,Huilong,CN,38.36,28.89,110.18,99,92,2.95
470,Severo-Yeniseyskiy,RU,-5.03,60.37,93.04,53,56,6.64
471,Mogadishu,SO,79.44,2.04,45.34,98,0,27.56
472,Shakawe,BW,67.88,-18.36,21.84,94,64,6.2
473,Hirara,JP,66.66,24.8,125.28,100,0,5.19
474,Yinchuan,CN,13.11,38.48,106.21,62,64,3.4
475,Haines Junction,CA,13.97,60.75,-137.51,87,68,2.73
476,Along,IN,49.88,28.17,94.8,89,48,1.83
477,Khudumelapye,BW,68.28,-23.91,24.95,75,56,9.66
478,Nyimba,ZM,72.38,-14.56,30.81,91,88,3.51
479,Khandyga,RU,-48.68,62.65,135.58,0,0,2.39
